"Name","Latitude","Longitude","Year","LoganProbability","pestCode","climGrid","LoganProbability2b","SafranyikProbability","SafranyikP3P4Probability","ColdToleranceSurvival","HybridCT","ProductpLpSpC","GeometricproductpL2bpSpC","GeometricproductpL2bpC"
"047-004",82.8296127319,-93.75,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"048-004",82.8296127319,-91.875,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"049-004",82.8296127319,-90,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"050-004",82.8296127319,-88.125,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"051-004",82.8296127319,-86.25,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"052-004",82.8296127319,-84.375,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"053-004",82.8296127319,-82.5,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"054-004",82.8296127319,-80.625,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"055-004",82.8296127319,-78.75,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"056-004",82.8296127319,-76.875,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"057-004",82.8296127319,-75,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"058-004",82.8296127319,-73.125,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"059-004",82.8296127319,-71.25,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"060-004",82.8296127319,-69.375,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"061-004",82.8296127319,-67.5,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"062-004",82.8296127319,-65.625,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"063-004",82.8296127319,-63.75,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"064-004",82.8296127319,-61.875,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"065-004",82.8296127319,-60,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"066-004",82.8296127319,-58.125,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"067-004",82.8296127319,-56.25,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"068-004",82.8296127319,-54.375,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"042-005",80.9254837036,-103.125,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"043-005",80.9254837036,-101.25,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"044-005",80.9254837036,-99.375,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"045-005",80.9254837036,-97.5,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"046-005",80.9254837036,-95.625,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"047-005",80.9254837036,-93.75,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"048-005",80.9254837036,-91.875,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"049-005",80.9254837036,-90,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"050-005",80.9254837036,-88.125,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"051-005",80.9254837036,-86.25,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"052-005",80.9254837036,-84.375,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"053-005",80.9254837036,-82.5,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"054-005",80.9254837036,-80.625,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"055-005",80.9254837036,-78.75,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"056-005",80.9254837036,-76.875,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"057-005",80.9254837036,-75,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"058-005",80.9254837036,-73.125,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"059-005",80.9254837036,-71.25,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
"060-005",80.9254837036,-69.375,1875,0,"MPB","20CR",NA,NA,NA,NA,NA,NA,NA,NA
